TERMO DE COLABORAÇÃO,COMPETÊNCIA,ITEM,RÚBRICA,CUSTO DIRETO,NF,EMPRESA,STATUS,PAGAMENTO
06/2021 - CSMI CRISTO,MARÇO,1.2.22,PRIMEIROS SOCORROS,"R$ 1.320,65",,AVANTI,,
06/2021 - CSMI CRISTO,MARÇO,1.2.28,MATERIAL DE COPA E COZINHA,"R$ 1.171,80",,R&R,,
25.2022 - CSMI CURIÓ,JANEIRO,1.3.2002,SERVIÇOS GRÁFICOS,"R$ 2.160,00",63,KM SERVIÇOS,PAGA,26/01/2026
25.2022 - CSMI CURIÓ,JANEIRO,1.6.2001,ALIMENTAÇÃO PARA EVENTOS,"R$ 508,00",118,AVANTI,PAGA,30/01/2026
25.2022 - CSMI CURIÓ,JANEIRO,1.6.2002,EPI’S COZINHA,"R$ 174,00",120,AVANTI,PAGA,30/01/2026
25.2022 - CSMI CURIÓ,JANEIRO,1.6.2003,MATERIAL DE EXPEDIENTE,"R$ 531,56",6098,FORTAL,PAGA,30/01/2026
25.2022 - CSMI CURIÓ,JANEIRO,1.6.2004,MATERIAL DE LIMPEZA,"R$ 1.890,60",550,R&R,PAGA,30/01/2026
25.2022 - CSMI CURIÓ,FEVEREIRO,1.6.2005,MATERIAL PARA REPAROS,"R$ 243,45",7638,ÍCONE,FATURADA,
25.2022 - CSMI CURIÓ,JANEIRO,1.6.19,MATERIAL PEDAGÓGICO,"R$ 638,89",6100,FORTAL,PAGA,30/01/2026
25.2022 - CSMI CURIÓ,JANEIRO,1.6.19,MATERIAL PEDAGÓGICO,"R$ 35,40",6099,FORTAL,PAGA,03/02/2026
25.2022 - CSMI CURIÓ,JANEIRO,1.6.20,PRIMEIROS SOCORROS,"R$ 717,00",119,AVANTI,PAGA,30/01/2026
25.2022 - CSMI CURIÓ,JANEIRO,1.6.21,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO E SUP,"R$ 319,90",6101,FORTAL,PAGA,30/01/2026
25.2022 - CSMI CURIÓ,JANEIRO,1.6.22,UNIFORME EM GERAL,"R$ 432,00",549,R&R,PAGA,30/01/2026
25.2022 - CSMI CURIÓ,FEVEREIRO,1.6.25,MATERIAL PARA FESTIVIDADES,"R$ 5.046,48",6113,FORTAL,FATURADA,
25.2022 - CSMI CURIÓ,FEVEREIRO,1.6.2001,ALIMENTAÇÃO PARA EVENTOS,"R$ 668,10",150,AVANTI,FATURADA,
25.2022 - CSMI CURIÓ,FEVEREIRO,1.6.2003,MATERIAL DE EXPEDIENTE,"R$ 1.046,60",6188,FORTAL,FATURADA,
25.2022 - CSMI CURIÓ,FEVEREIRO,1.6.2004,MATERIAL DE LIMPEZA,"R$ 3.311,80",569,R&R,FATURADA,
