INSTRUMENTO,ITEM DE DESPESA,DESCRIÇÃO ITEM DE DESPESA
1404986,1.3.4,MATERIAL PARA CENÁRIOS E FIGURINOS PARA EVENTOS CULTURAIS;
1404986,1.3.5,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE;"
1404986,1.3.6,"MATERIAL RECREATIVO, ESPORTIVO E DE ARTE;"
1404986,1.3.7,MATERIAL PARA PRIMEIROS SOCORROS;
1404986,1.3.8,MATERIAIS PARA REPAROS E CONSERVAÇÃO
1404986,1.3.9,MATERIAL PARA FESTIVIDADES;
1404986,1.4.1,EQUIPAMENTO E MATERIAL PERMANENTE
1404986,1.5.2,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1404996,1.2.1,LOCAÇÃO DE VEÍCULO;
1404996,1.2.2,"PRÊMIOS, CONDECORAÇÕES, MEDALHAS E TROFÉUS;"
1404996,1.2.3,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1404996,1.2.4,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1404996,1.2.5,SERVIÇO DE CONFECÇÃO DE MATERIAL PERSONALIZADO PARA EVENTOS;
1404996,1.2.6,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1404996,1.2.7,SERVIÇOS DE PEQUENOS REPAROS
1404996,1.3.1,GÁS ENGARRAFADO PARA COZINHA;
1404996,1.3.10,UTENSÍLIOS DE COPA E COZINHA;
1404996,1.3.11,VESTUÁRIO E UNIFORMES EM GERAL.
1404996,1.3.2,GÊNEROS ALIMENTÍCIOS;
1404996,1.3.3,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1404996,1.3.4,MATERIAL PARA CENÁRIOS E FIGURINOS PARA EVENTOS CULTURAIS;
1404996,1.3.5,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE;"
1404996,1.3.6,"MATERIAL RECREATIVO, ESPORTIVO E DE ARTE;"
1404996,1.3.7,MATERIAL PARA PRIMEIROS SOCORROS;
1404996,1.3.8,MATERIAIS PARA REPAROS E CONSERVAÇÃO
1404996,1.3.9,MATERIAL PARA FESTIVIDADES;
1404996,1.4.1,EQUIPAMENTO E MATERIAL PERMANENTE.
1404996,1.5.1,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1404996,1.5.2,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1404996,1.5.3,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1404999,1.2.1,LOCAÇÃO DE VEÍCULO;
