INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,ITEM,DESCRIÇÃO
1238489,12/2022,CREAS CARIRI FORTALEZA,1.6.3,Locação de Veículo.
1238489,12/2022,CREAS CARIRI FORTALEZA,1.6.4,Confecção de Uniformes e Vestuário em geral.
1238489,12/2022,CREAS CARIRI FORTALEZA,1.6.5,Serviços Gráficos e Reprográficos .
1238489,12/2022,CREAS CARIRI FORTALEZA,1.6.6,Serviços de Pequenos Reparos de Bens Móveis e imóveis.
1238489,12/2022,CREAS CARIRI FORTALEZA,2.5.3,Confecção de Uniformes e Vestuário e em geral .
1238489,12/2022,CREAS CARIRI FORTALEZA,2.5.4,Serviços Gráficos e Reprográficos.
1238489,12/2022,CREAS CARIRI FORTALEZA,1.6.7,"Serviços Técnicos Profissionais, assessoria, treinamentos e instrutoria."
1238489,12/2022,CREAS CARIRI FORTALEZA,1.6.8,"Material de Limpeza, conservação e Higiene"
1238489,12/2022,CREAS CARIRI FORTALEZA,2.5.5,Locação de Veiculo
1238489,12/2022,CREAS CARIRI FORTALEZA,2.5.6,"Material de Limpeza, conservação e higiene"
1238489,12/2022,CREAS CARIRI FORTALEZA,2.5.7,Serviços de pequenos reparos e bens móveis e imóveis
1238489,12/2022,CREAS CARIRI FORTALEZA,1.5.7,Material de Proteção e Segurança.
1238489,12/2022,CREAS CARIRI FORTALEZA,2.4.7,Material de Proteção e Segurança.
1238489,12/2022,CREAS CARIRI FORTALEZA,1.3.9,"Serviços técnicos profissionais, assessoria, treinamentos e instrutoria."
1238489,12/2022,CREAS CARIRI FORTALEZA,2.3.8,"Serviços técnicos profissionais, assessoria, treinamentos e instrutoria."
1220963,10/2022,CREAS JAGUARIBE,1.1.1,"Salários e encargos sob a folha(hors extras, encargos sociais, rescisões, atestado médico, 13º salário, ferias, adicional noturno, vale-transporte e vale-refeição)"
1220963,10/2022,CREAS JAGUARIBE,1.2.1,Diária dentro do Estado
1220963,10/2022,CREAS JAGUARIBE,1.3.1,Locação de Veiculo
1220963,10/2022,CREAS JAGUARIBE,1.3.2,Passagens aéreas e terrestre
1220963,10/2022,CREAS JAGUARIBE,1.3.3,"Serviço de comunicação em geral, gráficos e reprograficos e documentos afins, festividades e homenagens, publicidade e propagando(confecção de blusas, bolsas e material de proteção e segurança individuais com suas devidas logomarcas e afins)"
1220963,10/2022,CREAS JAGUARIBE,1.3.4,"Remuneração de serviços de natureza eventual(Instrutores, palestrantes, substituições e outros serviços)"
1220963,10/2022,CREAS JAGUARIBE,1.3.5,Serviços de pequenos reparos de bens móveis e imóveis
1220963,10/2022,CREAS JAGUARIBE,1.3.6,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros e feiras(fornecimento de alimentação, locação de espaço físico, locação de maquinas, equipamentos e afins)"
1220963,10/2022,CREAS JAGUARIBE,1.3.7,Confecção de uniformes
1220963,10/2022,CREAS JAGUARIBE,1.4.1,"Material de expediente, tecnologia da informação e suprimento de informatica"
1220963,10/2022,CREAS JAGUARIBE,1.4.2,Material didático e pedagogico
1220963,10/2022,CREAS JAGUARIBE,1.4.3,"Material de limpeza, conservação e higiene"
1220963,10/2022,CREAS JAGUARIBE,1.4.4,Material de copa e cozinha
1220963,10/2022,CREAS JAGUARIBE,1.4.5,Gás de Cozinha
1220963,10/2022,CREAS JAGUARIBE,1.4.6,Gêneros Alimentícios
1220963,10/2022,CREAS JAGUARIBE,1.5.1,"Material de expediente, tecnologia da informação e suprimento de informatica"
1220963,10/2022,CREAS JAGUARIBE,1.5.2,Locação de veiculo
1220963,10/2022,CREAS JAGUARIBE,1.5.3,"Serviços técnicos profissionais, assessoria, treinamentos e instrutória."
1220963,10/2022,CREAS JAGUARIBE,1.4.7,Material de proteção e segurança
1220963,10/2022,CREAS JAGUARIBE,1.3.8,"Serviços técnicos profissionais, assessoria, treinamentos e instrutoria"
1220963,10/2022,CREAS JAGUARIBE,1.3.9,Serviço de rede de internet (Wifi)
1378187,22/2025,CRIANCA FELIZ,1.1.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, valetransporte e vale-refeição)."
1378187,22/2025,CRIANCA FELIZ,1.2.1,Diárias dentro do estado
1378187,22/2025,CRIANCA FELIZ,1.2.2,Diárias fora do estado
1378187,22/2025,CRIANCA FELIZ,1.3.1,Serviços técnicos e profissionais
1378187,22/2025,CRIANCA FELIZ,1.3.2,"Serviços de cópias, reprodução de documentos e gráficos"
1378187,22/2025,CRIANCA FELIZ,1.3.3,Locação de espaço e de apoio e infraestrutura logística
1378187,22/2025,CRIANCA FELIZ,1.3.4,Fornecimento de alimentação
1378187,22/2025,CRIANCA FELIZ,1.3.5,Despesas passagens aéreas e terrestres
1378187,22/2025,CRIANCA FELIZ,1.3.6,"Serviço de apoio a processos formativos de ensino (Taxas de inscrições em cursos, eventos, oficinas, dentre outros)"
1378187,22/2025,CRIANCA FELIZ,1.4.1,Material de processamento de dados
1378187,22/2025,CRIANCA FELIZ,1.4.2,Material de expediente
1378187,22/2025,CRIANCA FELIZ,1.5.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, valetransporte e vale-refeição)"
1378187,22/2025,CRIANCA FELIZ,1.5.2,Locação de veículo
1378187,22/2025,CRIANCA FELIZ,1.5.3,Material de expediente e processamento de dados
1378187,22/2025,CRIANCA FELIZ,1.5.4,"Serviços técnicos profissionais, assessoria, treinamentos e instrutoria"
1202581,02/2022,CSMI BARBALHA,1.1.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, vale-transporte e vale-refeição)"
1202581,02/2022,CSMI BARBALHA,1.2.1,Acessórios para banheiros
1202581,02/2022,CSMI BARBALHA,1.2.2,"EPI’s cozinha, curso de gastronomia e demais ambientes"
1202581,02/2022,CSMI BARBALHA,1.2.3,Material de expediente
1202581,02/2022,CSMI BARBALHA,1.2.4,Material de limpeza
1202581,02/2022,CSMI BARBALHA,1.2.5,Material de tecnologia da informação e suprimento de informática
1202581,02/2022,CSMI BARBALHA,1.2.6,"Materiais para reparos e conservação de bens, móveis e imóveis"
1202581,02/2022,CSMI BARBALHA,1.2.7,Material para oficinas pedagógicas
1202581,02/2022,CSMI BARBALHA,1.2.8,Oficina de ballet
1202581,02/2022,CSMI BARBALHA,1.2.9,Oficina de capoeira
1202581,02/2022,CSMI BARBALHA,1.2.10,Contação de história
1202581,02/2022,CSMI BARBALHA,1.2.11,Canto coral
1202581,02/2022,CSMI BARBALHA,1.2.12,Oficina dança funcional
1202581,02/2022,CSMI BARBALHA,1.2.13,Oficina flauta
1202581,02/2022,CSMI BARBALHA,1.2.14,Material para oficina futebol de campo
1202581,02/2022,CSMI BARBALHA,1.2.15,Material para horto
1202581,02/2022,CSMI BARBALHA,1.2.16,Oficina de artes marciais jiu jitsu
1202581,02/2022,CSMI BARBALHA,1.2.17,Sala de música
1202581,02/2022,CSMI BARBALHA,1.2.18,Oficina teclado
1202581,02/2022,CSMI BARBALHA,1.2.19,Oficina violão
