INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,MÊS COMPETÊNCIA,ANO COMPETÊNCIA,ITEM,DESCRIÇÃO,VALOR,NF,EMPRESA,STATUS,DATA PGTO
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.4,MATERIAL DE LIMPEZA,"R$ 3.560,83",545.0,R&R,PAGA,23/01/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.6,MATERIAL PARA REPAROS,"R$ 1.661,88",7639.0,ÍCONE,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.17,SALA DE MÚSICA,"R$ 545,70",7575.0,ÍCONE,PAGA,27/01/2026
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.19,OFICINA VIOLÃO,"R$ 269,10",7574.0,ÍCONE,PAGA,27/01/2026
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 7.174,72",102.0,AVANTI,PAGA,23/01/2026
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 1.006,00",37033.0,CCPF,PAGA,23/01/2026
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.22,PRIMEIROS SOCORROS,"R$ 227,35",105.0,AVANTI,PAGA,23/01/2026
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.24,UTENSÍLIOS DE COZINHA,"R$ 3.012,80",547.0,R&R,PAGA,26/01/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.27,MATERIAL PARA FESTIVIDADES,"R$ 5.353,62",6112.0,FORTAL,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.28,MATERIAL DE COPA E COZINHA,"R$ 1.171,80",546.0,R&R,PAGA,23/01/2026
1190123,06/2021,CSMI CRISTO REDENTOR,JANEIRO,2026,1.2.29,MATERIAL DE PROTEÇÃO E SEGURANÇA,"R$ 829,00",104.0,AVANTI,PAGA,23/01/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.3,MATERIAL DE EXPEDIENTE,"R$ 950,78",6187.0,FORTAL,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.4,MATERIAL DE LIMPEZA,"R$ 3.601,58",571.0,R&R,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.6,MATERIAL PARA REPAROS,"R$ 1.522,72",151.0,ARRUDA,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 2.354,00",152.0,AVANTI,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 1.006,00",37338.0,CCPF,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.22,PRIMEIROS SOCORROS,"R$ 664,00",151.0,AVANTI,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.24,UTENSÍLIOS DE COZINHA,"R$ 913,66",572.0,R&R,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.27,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 4.055,22",150.0,ARRUDA,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.28,MATERIAL DE COPA E COZINHA,"R$ 1.444,32",573.0,R&R,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,FEVEREIRO,2026,1.2.29,MATERIAL DE PROTEÇÃO E SEGURANÇA,"R$ 829,00",149.0,AVANTI,PAGA,19/02/2026
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.1,ACESSÓRIOS PARA BANHEIROS,"R$ 1.082,20",,R&R,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.2,EPI’S COZINHA,"R$ 474,30",,AVANTI,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.3,MATERIAL DE EXPEDIENTE,"R$ 1.762,32",,FORTAL,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.4,MATERIAL DE LIMPEZA,"R$ 5.678,79",,R&R,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.5,MATERIAL DE T.I. E SUPRIMENTO DE INFORMÁTICA,"R$ 111,00",,FORTAL,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.6,MATERIAL PARA REPAROS,,,ARRUDA,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.7,MATERIAL PARA OFICINAS PEDAGÓGICAS,"R$ 2.756,78",,FORTAL,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.8,OFICINA DE BALLET,"R$ 4.713,20",,ÍCONE,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.9,OFICINA DE CAPOEIRA,"R$ 13.275,00",,ÍCONE,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.14,MATERIAL PARA OFICINA FUTEBOL DE CAMPO,"R$ 5.569,40",,ÍCONE,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.15,MATERIAL PARA HORTO,"R$ 540,00",,R&R,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.16,OFICINA KARATÊ,"R$ 2.985,00",,ÍCONE,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.17,SALA DE MÚSICA,"R$ 1.201,80",,ÍCONE,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 14.299,65",,AVANTI,,
